13;11;5;12
13;7;19;2
20;2;16;18
11;17;12;10
18;15;12;9
22;15;19;12
10;3;18;9
5;15;8;4
4;11;12;7
14;5;15;23
4;11;12;7
23;19;22;21
5;22;14;15
19;18;21;20
6;4;2;11
15;22;13;5
8;12;19;17
19;12;4;20
20;4;7;2
18;15;12;9
11;7;12;8
23;20;2;21
19;3;6;16
12;22;13;11
17;4;11;14
23;20;2;21
20;2;7;19
4;19;18;15
15;11;5;22
17;15;23;5
5;13;11;12
21;20;16;5
18;17;20;21
8;18;5;3
14;5;15;23
12;18;2;4
22;12;23;15
15;22;5;12
8;12;11;16
17;7;3;12
4;18;2;19
22;19;6;12
8;12;3;19
12;8;19;11
3;13;16;19
12;21;14;7
10;9;14;6
10;14;11;8
11;1;7;22
15;18;22;5
17;15;23;5
19;8;21;12
