 2;14; 4; 6
19; 5;16;20
16; 1; 4;19
 1;20;18; 3
 2;10;20;18
 6;17;19;20
15;16; 1; 4
11; 8; 7;19
 5; 2;15;14
14;15;13;18
20;18; 6; 3
14;10;13; 3
 2; 4;16;18
16; 9; 3; 8
 4; 9; 1;14
18; 9; 7; 2
14;13; 3;15
 2; 3;14; 8
 7;11;13;18
 2; 4;15; 7
13;18; 5; 2
16;19; 3;15
 9; 8; 7;20
10;16; 8;18
19; 2; 8; 4
16; 8;12;13
 3; 1; 7;11
13; 1; 8; 2
20; 8;15; 9
20;19;10; 2
10;20;13;19
 9; 3;20;12
18;17; 5;20
13; 7;18; 1
17; 5;11; 6
 2;10; 5;18
15;14;18;17
11; 4;18; 3
 2;13; 4;10
15;19; 6;18
 1;15;10; 9
13;12;20;19
11;13; 9;19
20; 2;12;19
17;20; 6;10
 7; 3;14;12
18; 4; 7; 1
10;20;14; 1
 7;17;12; 2
11; 2;18; 3
