13; 2;10;16
12;17; 3;18
13;24;16;14
20; 3; 9; 6
 2;10;13;20
18;14; 1;10
24;23;22;20
17;15; 9; 2
 5;17; 1;23
 2; 5;11;20
 7; 8; 3;23
 4;20;16;12
13;22;21;12
 7;20;18;14
 6;19;18;17
 5; 1;18;19
19;21; 5;15
 3; 5;12;10
16;23;24; 5
23; 2;16;15
 4;13;24; 2
10;20;15;17
 1;18; 4;19
18;12;15;14
11; 8;22; 5
 5; 8;24;22
24;22;21;20
15; 4;20; 7
16;23;18;19
24; 3; 9;23
10; 9; 4; 7
 6; 8;19;18
18;10;21;19
23;17;11; 2
16; 6;23;15
12; 2; 3; 7
19;22; 9;10
24;17;10; 2
16; 5;19;22
 2; 3;20; 1
15; 1;11; 4
 4; 9;19;21
19; 7; 5; 6
20;23;19; 3
16;21;23;10
12;14; 1;21
 1;10; 9;15
20;21; 4;23
 3;23;21; 2
 3;14;22; 6
23;14; 8; 2
 8;10;22; 2
18; 1; 3;22
20;13;16; 7
 2; 4; 5;10
24;16; 9;21
14;17; 3; 7
 2;22; 8;16
21; 1;14;17
14; 8;21;20
22;21;17;11
22;10;24;20
