 8;13;14;10
11; 8;17; 4
19; 1; 6;13
13;16; 4; 2
 2;13;14; 9
 5; 4;18;13
12;14; 6; 1
17; 9; 1;15
18;15; 1; 3
13; 6; 4;17
15; 1;19; 8
11; 7;13;14
 2; 4; 1; 8
 4;17; 5;12
18; 9;13;14
14;11;19;15
 5;11;16;14
 2;18;16; 1
 8; 7;10;15
17; 7;11; 4
12;16;11; 7
14;16; 5; 7
 6;11; 7; 4
 8; 5; 9;19
 7; 2;11;13
 1;11;12;18
10;13;19;17
 6;15; 8; 4
 6;18; 2;15
 2; 7;12;17
12;15;17;18
 2; 6;18;16
16;12;13; 3
13;11; 6;12
 6; 2;17; 8
15; 5; 4; 7
 3;13; 8;18
 9;13;17; 3
15; 8; 6; 3
19;17;11;12
 1; 2;18; 9
 2;11;18;15
12;19; 1;18
10;14; 2;16
12; 7; 9;13
