11; 2;16;10
11;16;19;23
16;18;21; 4
25;14; 5; 9
16;25; 3; 6
25;24; 9; 6
 1;21;15; 9
15; 6; 9;24
 9; 8;25; 2
 8;13; 4;20
25;22;19;10
12; 3; 8;15
 2;15;22; 8
25;10;14;23
20; 2;13;16
23; 8;13; 1
 5; 2;18;14
24; 8;13; 9
23; 9;24; 6
22; 5;19;23
 8;22;21;11
25; 8;13;22
21;12;20; 4
 4;21; 9;18
 3; 8; 2; 7
25; 4; 1;20
10; 3;25; 2
23;11; 7; 9
 9;19;18;15
20; 1;14; 2
15; 7; 5;18
 6;17;18;24
16;14; 8; 2
25;12;17;16
 1;15;25;20
 3;17;24;25
 5;16;13; 1
 2;15;12;16
20;19;25; 5
 6; 1;23;24
19; 3;11;10
 1; 5;18; 7
13;12;17; 5
18;17;21;24
13;25;20; 7
 5;12;25;21
13; 9;22;16
21; 7;24;20
25;14; 5;15
17;10;18; 6
10; 8;23;13
23; 4; 3; 8
25;18;12; 6
14; 7; 1; 9
 2;15; 7;19
13; 2;22;12
15; 7; 2;18
21;14;11;17
11;14;10;24
13; 3;21;16
