 9; 4; 8;12
13; 9;11; 8
17; 1;18;11
10; 3;12;13
 3;12;17;14
10; 1;12;15
13;14; 4;18
17;10; 7; 9
 3;10;17; 9
17; 9;16;13
13; 8;11;15
 4;14;10;15
 2; 6;18;12
 8; 1; 5;12
 2;12; 5;10
 4; 1; 3;17
 2;15; 4; 3
10;18; 1; 6
11;15;13; 6
 4; 5;17;11
18;12;15; 6
 5; 6;17; 8
 1; 5; 4;14
18; 5;15;13
 7;18; 6; 2
13;14; 4;10
11;13; 6;17
 4; 3;18; 1
 4; 7; 3;11
16;18; 8;17
13; 9;15; 1
 4;11;14; 9
15;13;14;18
 1;16; 9;15
 7; 9;16;15
 3; 8; 2; 6
 5;12; 4; 3
 4; 9;14;16
10; 4;15;12
 9; 2; 7;12
