 1; 6;10; 4
 8;19; 9;13
15;11; 7; 5
 4;17;19; 1
16;18; 1;13
 1;16; 8;11
18;19;11; 3
 8;12; 5;10
 3;12;19; 1
19;12;15; 1
 2;13; 1;12
10;17; 9; 3
13;19; 2; 5
 9;10;13; 2
15;13; 6; 4
17; 6; 5; 3
 9;17; 7; 2
19;15;16;14
 9; 5; 8; 6
 3;12; 7; 8
 1; 5;10; 3
 8; 7; 3;13
19;11; 1;16
 1; 4; 7; 2
 6;19; 3;13
11; 2; 8; 7
 5; 2;16;10
 2;15; 7;14
 1; 8;16; 9
17; 2;16;18
 4; 3;16;19
18;11;15;19
 8; 2;13;18
13;16;12;10
 8;15;16;12
13; 9;15; 4
 7; 1;14;12
15; 3; 8; 1
19; 1;15;17
 5;13; 2;10
19; 6; 2;14
16; 9; 2;10
18; 3; 8; 5
 3; 7; 2;19
14;11; 9; 2
 7; 4; 8;18
18;17;10;11
11; 3;18; 5
15;17;14;19
 9;14; 8; 5
 2; 8;16; 4
19; 3;14;11
